open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1669852800000,1294.09,1295.38,1285.54,1289.56,244476.812,1669856399999,315527431.78979,147639,117677.760,151897886.51612,0
1669856400000,1289.56,1289.97,1282.00,1285.30,170256.468,1669859999999,219014482.87515,101435,85285.692,109731042.98849,0
1669860000000,1285.31,1288.80,1280.46,1286.26,136641.562,1669863599999,175618362.34713,90426,71995.162,92546487.58373,0
1669863600000,1286.26,1290.68,1285.98,1287.55,140941.310,1669867199999,181571189.35441,83606,70360.291,90646135.25249,0
1669867200000,1287.55,1288.98,1281.63,1283.29,123814.910,1669870799999,159202705.46570,79458,57154.697,73499363.27503,0
1669870800000,1283.29,1286.51,1275.00,1281.88,180358.957,1669874399999,231098851.56573,108380,81679.567,104673642.27332,0
1669874400000,1281.88,1285.53,1281.35,1283.85,107026.240,1669877999999,137337945.27442,71675,55724.135,71511442.03515,0
1669878000000,1283.84,1284.27,1277.93,1278.20,103680.861,1669881599999,132833548.99637,72808,45430.505,58207850.95616,0
1669881600000,1278.19,1285.95,1276.57,1283.31,148217.262,1669885199999,189866726.83874,93846,80739.767,103436561.43342,0
1669885200000,1283.32,1283.62,1277.52,1283.14,132295.050,1669888799999,169444409.32769,90145,63950.682,81912277.87781,0
1669888800000,1283.13,1284.76,1279.16,1279.86,115730.609,1669892399999,148390875.58906,82258,53946.183,69177368.32578,0
1669892400000,1279.86,1282.84,1276.68,1282.63,143910.990,1669895999999,184191589.44055,92760,75066.252,96088224.26543,0
1669896000000,1282.64,1290.00,1282.51,1287.74,247814.270,1669899599999,318739065.58928,137485,132813.078,170831747.25507,0
1669899600000,1287.74,1300.51,1268.10,1278.47,766713.370,1669903199999,983564342.56611,344263,372666.215,478247934.33827,0
1669903200000,1278.46,1282.99,1270.10,1279.32,399438.170,1669906799999,509934543.41200,219829,201200.731,256898982.77568,0
1669906800000,1279.33,1284.86,1262.00,1271.15,546573.803,1669910399999,693989510.15584,271087,262177.494,332907348.93953,0
1669910400000,1271.15,1274.37,1265.00,1271.91,209304.921,1669913999999,265893977.30971,122155,106048.978,134745648.63104,0
1669914000000,1271.83,1275.65,1267.72,1274.26,145509.495,1669917599999,185113431.41101,93146,72893.552,92745747.44165,0
1669917600000,1274.26,1278.41,1270.79,1274.40,152933.572,1669921199999,194977926.57890,91618,78519.672,100122902.79979,0
1669921200000,1274.40,1277.20,1271.72,1275.30,96754.827,1669924799999,123353337.60506,69537,47429.277,60474325.50177,0
1669924800000,1275.31,1275.52,1271.11,1271.47,77454.624,1669928399999,98665137.25014,56167,33116.443,42186550.62725,0
1669928400000,1271.47,1277.47,1266.18,1275.74,142291.810,1669931999999,181002982.81632,91899,76795.931,97703299.60142,0
1669932000000,1275.74,1283.99,1273.92,1276.99,117010.497,1669935599999,149568773.22889,85572,65302.762,83486166.78540,0
1669935600000,1277.00,1278.82,1272.11,1275.70,93433.758,1669939199999,119147993.35861,67501,43767.074,55812197.34521,0
1669939200000,1275.70,1283.51,1273.14,1282.07,156777.438,1669942799999,200255370.19188,90729,85158.137,108794217.23931,0
1669942800000,1282.08,1284.66,1265.51,1271.97,215059.426,1669946399999,274307793.52888,132283,95030.693,121233727.01635,0
1669946400000,1271.98,1273.97,1264.43,1271.22,191933.072,1669949999999,243661776.38969,115739,91740.962,116475379.27587,0
1669950000000,1271.22,1274.46,1270.05,1271.06,92772.081,1669953599999,118015368.43781,68853,43241.517,55013772.61549,0
1669953600000,1271.05,1273.85,1267.31,1271.97,110598.051,1669957199999,140553876.89598,75352,57092.193,72557099.80833,0
1669957200000,1271.98,1274.90,1270.71,1272.63,71686.217,1669960799999,91231075.94494,57178,35592.360,45298320.12279,0
1669960800000,1272.62,1276.61,1270.08,1270.78,99297.318,1669964399999,126423888.66721,68182,48538.981,61812720.81104,0
